15_cell_neg_1	15_cell_neg_0
13_kitchen_pos_29	13_kitchen_pos_28
13_kitchen_pos_30	13_kitchen_pos_29
13_kitchen_pos_31	13_kitchen_pos_30
13_kitchen_pos_32	13_kitchen_pos_31
13_kitchen_pos_33	13_kitchen_pos_32
13_kitchen_pos_34	13_kitchen_pos_33
13_kitchen_pos_35	13_kitchen_pos_34
13_kitchen_pos_36	13_kitchen_pos_35
13_kitchen_pos_37	13_kitchen_pos_36
13_kitchen_pos_38	13_kitchen_pos_37
13_kitchen_pos_39	13_kitchen_pos_38
13_kitchen_pos_40	13_kitchen_pos_39
13_kitchen_pos_41	13_kitchen_pos_40
13_kitchen_pos_42	13_kitchen_pos_41
13_kitchen_pos_43	13_kitchen_pos_42
13_kitchen_pos_44	13_kitchen_pos_43
13_kitchen_pos_45	13_kitchen_pos_44
13_kitchen_pos_46	13_kitchen_pos_45
13_kitchen_pos_47	13_kitchen_pos_46
13_kitchen_pos_48	13_kitchen_pos_47
13_kitchen_pos_49	13_kitchen_pos_48
13_kitchen_pos_50	13_kitchen_pos_49
13_kitchen_pos_51	13_kitchen_pos_50
13_kitchen_pos_52	13_kitchen_pos_51
13_kitchen_pos_53	13_kitchen_pos_52
13_kitchen_pos_54	13_kitchen_pos_53
13_kitchen_pos_55	13_kitchen_pos_54
13_kitchen_pos_56	13_kitchen_pos_55
13_kitchen_pos_57	13_kitchen_pos_56
13_kitchen_pos_58	13_kitchen_pos_57
13_kitchen_pos_59	13_kitchen_pos_58
15_kitchen_pos_1	15_kitchen_pos_0
15_kitchen_pos_2	15_kitchen_pos_1
15_kitchen_pos_3	15_kitchen_pos_2
15_kitchen_pos_4	15_kitchen_pos_3
15_kitchen_pos_5	15_kitchen_pos_4
15_kitchen_pos_6	15_kitchen_pos_5
15_kitchen_pos_7	15_kitchen_pos_6
15_kitchen_pos_8	15_kitchen_pos_7
15_kitchen_pos_9	15_kitchen_pos_8
15_kitchen_pos_10	15_kitchen_pos_9
15_kitchen_pos_11	15_kitchen_pos_10
15_kitchen_pos_12	15_kitchen_pos_11
15_kitchen_pos_13	15_kitchen_pos_12
15_kitchen_pos_14	15_kitchen_pos_13
15_kitchen_pos_15	15_kitchen_pos_14
15_kitchen_pos_16	15_kitchen_pos_15
15_kitchen_pos_17	15_kitchen_pos_16
15_kitchen_pos_18	15_kitchen_pos_17
15_kitchen_pos_19	15_kitchen_pos_18
15_kitchen_pos_20	15_kitchen_pos_19
15_kitchen_pos_21	15_kitchen_pos_20
15_kitchen_pos_22	15_kitchen_pos_21
15_kitchen_pos_23	15_kitchen_pos_22
15_kitchen_pos_24	15_kitchen_pos_23
15_kitchen_pos_25	15_kitchen_pos_24
15_kitchen_pos_26	15_kitchen_pos_25
15_kitchen_pos_27	15_kitchen_pos_26
15_kitchen_pos_28	15_kitchen_pos_27
15_kitchen_pos_29	15_kitchen_pos_28
15_kitchen_pos_30	15_kitchen_pos_29
15_kitchen_pos_31	15_kitchen_pos_30
15_kitchen_pos_32	15_kitchen_pos_31
15_kitchen_pos_33	15_kitchen_pos_32
15_kitchen_pos_34	15_kitchen_pos_33
15_kitchen_pos_35	15_kitchen_pos_34
15_kitchen_pos_36	15_kitchen_pos_35
15_kitchen_pos_37	15_kitchen_pos_36
15_kitchen_pos_38	15_kitchen_pos_37
15_kitchen_pos_39	15_kitchen_pos_38
15_kitchen_pos_40	15_kitchen_pos_39
15_kitchen_pos_41	15_kitchen_pos_40
15_kitchen_pos_42	15_kitchen_pos_41
15_kitchen_pos_43	15_kitchen_pos_42
15_kitchen_pos_44	15_kitchen_pos_43
15_kitchen_pos_45	15_kitchen_pos_44
15_kitchen_pos_46	15_kitchen_pos_45
15_kitchen_pos_47	15_kitchen_pos_46
15_kitchen_pos_48	15_kitchen_pos_47
15_kitchen_pos_49	15_kitchen_pos_48
15_kitchen_pos_50	15_kitchen_pos_49
15_kitchen_pos_51	15_kitchen_pos_50
15_kitchen_pos_52	15_kitchen_pos_51
