17_cell_neg_1	17_cell_neg_2
16_kitchen_pos_25	16_kitchen_pos_26
16_kitchen_pos_26	16_kitchen_pos_27
16_kitchen_pos_27	16_kitchen_pos_28
16_kitchen_pos_28	16_kitchen_pos_29
16_kitchen_pos_29	16_kitchen_pos_30
16_kitchen_pos_30	16_kitchen_pos_31
16_kitchen_pos_31	16_kitchen_pos_32
16_kitchen_pos_32	16_kitchen_pos_33
16_kitchen_pos_33	16_kitchen_pos_34
16_kitchen_pos_34	16_kitchen_pos_35
16_kitchen_pos_35	16_kitchen_pos_36
16_kitchen_pos_36	16_kitchen_pos_37
16_kitchen_pos_37	16_kitchen_pos_38
16_kitchen_pos_38	16_kitchen_pos_39
16_kitchen_pos_39	16_kitchen_pos_40
16_kitchen_pos_40	16_kitchen_pos_41
16_kitchen_pos_41	16_kitchen_pos_42
16_kitchen_pos_42	16_kitchen_pos_43
16_kitchen_pos_43	16_kitchen_pos_44
16_kitchen_pos_44	16_kitchen_pos_45
16_kitchen_pos_45	16_kitchen_pos_46
16_kitchen_pos_46	16_kitchen_pos_47
16_kitchen_pos_47	16_kitchen_pos_48
16_kitchen_pos_48	16_kitchen_pos_49
16_kitchen_pos_49	16_kitchen_pos_50
17_kitchen_pos_1	17_kitchen_pos_2
17_kitchen_pos_2	17_kitchen_pos_3
17_kitchen_pos_3	17_kitchen_pos_4
17_kitchen_pos_4	17_kitchen_pos_5
17_kitchen_pos_5	17_kitchen_pos_6
17_kitchen_pos_6	17_kitchen_pos_7
17_kitchen_pos_7	17_kitchen_pos_8
17_kitchen_pos_8	17_kitchen_pos_9
17_kitchen_pos_10	17_kitchen_pos_11
17_kitchen_pos_11	17_kitchen_pos_12
17_kitchen_pos_12	17_kitchen_pos_13
17_kitchen_pos_13	17_kitchen_pos_14
17_kitchen_pos_15	17_kitchen_pos_16
17_kitchen_pos_16	17_kitchen_pos_17
17_kitchen_pos_17	17_kitchen_pos_18
17_kitchen_pos_18	17_kitchen_pos_19
17_kitchen_pos_19	17_kitchen_pos_20
17_kitchen_pos_21	17_kitchen_pos_22
17_kitchen_pos_23	17_kitchen_pos_24
17_kitchen_pos_24	17_kitchen_pos_25
17_kitchen_pos_25	17_kitchen_pos_26
17_kitchen_pos_26	17_kitchen_pos_27
17_kitchen_pos_27	17_kitchen_pos_28
17_kitchen_pos_28	17_kitchen_pos_29
17_kitchen_pos_29	17_kitchen_pos_30
17_kitchen_pos_30	17_kitchen_pos_31
17_kitchen_pos_31	17_kitchen_pos_32
17_kitchen_pos_32	17_kitchen_pos_33
17_kitchen_pos_33	17_kitchen_pos_34
17_kitchen_pos_34	17_kitchen_pos_35
17_kitchen_pos_35	17_kitchen_pos_36
17_kitchen_pos_36	17_kitchen_pos_37
17_kitchen_pos_37	17_kitchen_pos_38
17_kitchen_pos_38	17_kitchen_pos_39
17_kitchen_pos_39	17_kitchen_pos_40
17_kitchen_pos_40	17_kitchen_pos_41
17_kitchen_pos_41	17_kitchen_pos_42
17_kitchen_pos_42	17_kitchen_pos_43
17_kitchen_pos_43	17_kitchen_pos_44
17_kitchen_pos_44	17_kitchen_pos_45
17_kitchen_pos_47	17_kitchen_pos_48
17_kitchen_pos_48	17_kitchen_pos_49
17_kitchen_pos_49	17_kitchen_pos_50
17_kitchen_pos_50	17_kitchen_pos_51
17_kitchen_pos_51	17_kitchen_pos_52
17_kitchen_pos_52	17_kitchen_pos_53
17_kitchen_pos_53	17_kitchen_pos_54
17_kitchen_pos_54	17_kitchen_pos_55
17_kitchen_pos_55	17_kitchen_pos_56
17_kitchen_pos_56	17_kitchen_pos_57
17_kitchen_pos_57	17_kitchen_pos_58
